aarch64-linux-gnu-binutils 2.42-1
aarch64-linux-gnu-gcc 14.1.0-1
aarch64-linux-gnu-gdb 14.2-2
aarch64-linux-gnu-glibc 2.39-1
aarch64-linux-gnu-linux-api-headers 6.7-1
abseil-cpp 20240116.2-2
acl 2.3.2-1
alist-bin 3.33.0-2
alsa-lib 1.2.12-1
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.12-1
aom 3.9.1-1
apparmor 3.1.7-2
apr 1.7.4-1
apr-util 1.6.3-1
arch-install-scripts 28-1
archlinux-keyring 20240609-1
argon2 20190702-5
attr 2.5.2-1
audit 4.0.1-3
autoconf 2.72-1
automake 1.16.5-2
autopkgtest 5.30-2
base 3-2
base-devel 1-1
bash 5.2.026-2
bash-completion 2.14.0-2
bat 0.24.0-2
bc 1.07.1-4
bear 3.1.4-1
binutils 2.42+r91+g6224493e457-1
bison 3.8.2-6
blas 3.12.0-5
bluez-libs 5.76-1
boost 1.83.0-8
boost-libs 1.83.0-8
bridge-utils 1.7.1-2
brotli 1.1.0-2
byobu 6.1.12-1
bzip2 1.0.8-6
c-ares 1.29.0-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.101-1
ca-certificates-utils 20240618-1
cairo 1.18.0-2
cantarell-fonts 1:0.303.1-1
capstone 5.0.1-3
carbonyl-bin 0.0.3-2
cblas 3.12.0-5
ccache 4.10-2
clang 17.0.6-2
cmake 3.29.6-1
compiler-rt 17.0.6-2
confuse 3.3-4
containerd 1.7.18-1
coreutils 9.5-1
cpio 2.15-1
cppdap 1.58.0-1
cronie 1.7.2-1
cryptsetup 2.7.3-1
cuda 12.5.0-1
curl 8.8.0-1
dash 0.5.12-1
dav1d 1.4.2-1
db5.3 5.3.28-5
dbus 1.14.10-2
dbus-broker 36-2
dbus-broker-units 36-2
debugedit 5.0-6
default-cursors 2-1
device-mapper 2.03.24-1
diffutils 3.10-1
dmidecode 3.5-1
docker 1:26.1.4-1
docker-compose 2.28.0-1
dosfstools 4.2-3
dtc 1.7.0-5
duktape 2.7.0-6
e2fsprogs 1.47.1-4
ed 1.20.2-2
edk2-ovmf 202311-1
epr-git 2.4.15.r154.723c77d-1
expat 2.6.2-1
eza 0.18.19-1
fakeroot-tcp 1.25.3-2
fd 10.1.0-1
fftw 3.3.10-7
file 5.45-1
filesystem 2024.04.07-1
findutils 4.10.0-1
flac 1.4.3-1
flex 2.6.4-5
fmt 10.2.0-1
fnm 1.35.1-1
fontconfig 2:2.15.0-2
freeglut 3.6.0-1
freetype2 2.13.2-1
fribidi 1.0.15-1
fuse-common 3.16.2-1
fuse2 2.9.9-4
fuse3 3.16.2-1
fzf 0.53.0-1
gawk 5.3.0-1
gc 8.2.6-1
gcc 14.1.1+r58+gfc9fb69ad62-1
gcc-libs 14.1.1+r58+gfc9fb69ad62-1
gcc13 13.3.0-1
gcc13-libs 13.3.0-1
gdb 14.2-2
gdb-common 14.2-2
gdb-multiarch 14.2-2
gdbm 1.23-2
gdk-pixbuf2 2.42.12-1
gettext 0.22.5-1
giflib 5.2.2-1
git 2.45.2-1
glib2 2.80.3-2
glibc 2.39+r52+gf8e4623421-1
glibc-locales 2.39+r52+gf8e4623421-1
glu 9.0.3-1
gmp 6.3.0-2
gnu-netcat 0.7.1-10
gnupg 2.4.5-1
gnutls 3.8.5-1
go 2:1.22.4-1
gperftools 2.15-1
gpgme 1.23.2-4
gpm 1.20.7.r38.ge82d1a6-5
graphite 1:1.3.14-3
grep 3.11-1
groff 1.23.0-6
grpc 1.64.2-2
gtest 1.14.0-1
guile 3.0.9-1
gzip 1.13-2
harfbuzz 8.5.0-1
hdparm 9.65-1
hicolor-icon-theme 0.18-1
hidapi 0.14.0-2
highway 1.2.0-1
hiredis 1.2.0-2
htop 3.3.0-3
http-parser 2.9.4-2
hwdata 0.383-1
hwloc 2.10.0-1
i3-wm 4.23-4
i386-elf-binutils 2.42-2
i386-elf-gcc 14.1.0-0
i386-elf-gdb 14.2-1
i386-musl 1.2.5-1
i3blocks 1.5-4
i3lock 2.15-2
i3status 2.14-1
iana-etc 20240412-1
icu 75.1-1
imagemagick 7.1.1.33-1
imath 3.1.11-2
imlib2 1.12.2-2
iniparser 4.2.4-1
iproute2 6.9.0-1
iptables 1:1.8.10-1
iputils 20240117-1
irqbalance 1.9.4-1
jansson 2.14-4
java-environment-common 3-5
java-runtime-common 3-5
jbigkit 2.1-8
jdk17-openjdk 17.0.11.u9-1
jemalloc 1:5.3.0-4
jq 1.7.1-2
json-c 0.17-1
jsoncpp 1.9.5-2
kbd 2.6.4-1
keyutils 1.6.3-2
kmod 32-1
krb5 1.21.2-2
lame 3.100-4
lapack 3.12.0-5
lcms2 2.16-1
less 1:643-2
lib32-glibc 2.39+r52+gf8e4623421-1
libaio 0.3.113-3
libarchive 3.7.4-1
libassuan 2.5.7-2
libasyncns 1:0.8+r3+g68cd5af-2
libavif 1.0.4-3
libbpf 1.4.2-1
libcap 2.70-1
libcap-ng 0.8.5-2
libdatrie 0.2.13-4
libdecor 0.2.2-1
libdeflate 1.20-2
libdrm 2.4.121-1
libedit 20240517_3.1-1
libelf 0.191-3
libepoxy 1.5.10-2
libev 4.33-3
libevdev 1.13.2-1
libevent 2.1.12-4
libffi 3.4.6-1
libfontenc 1.1.8-1
libgcrypt 1.11.0-1
libgit2 1:1.8.1-1
libglvnd 1.7.0-1
libgpg-error 1.50-1
libgudev 238-1
libice 1.1.1-2
libidn2 2.3.7-1
libinput 1.26.0-1
libisl 0.26-2
libjpeg-turbo 3.0.3-1
libjxl 0.10.2-1
libksba 1.6.6-1
libldap 2.6.7-2
liblqr 0.4.2-3
libluv 1.48.0_2-1
libmnl 1.0.5-2
libmodplug 0.8.9.0-5
